49	TALOT7040	TOUCH ALCATEL OT7040	TOUCH	ALCATEL	OT7040	POP C7		 $250 	
50	DALOT7042	DISPLAY ALCATEL OT7042	DISPLAY	ALCATEL	OT7042	POP C7 PLUS		 $200 	 $450 
51	TALOT7042	TOUCH ALCATEL OT7042	TOUCH	ALCATEL	OT7042	POP C7 PLUS		 $230 	 $550 
52	DALOT7047	DISPLAY ALCATEL OT7047A	DISPLAY	ALCATEL	OT7047A	POP C9		 $580 	 $800 
53	TALOT7047	TOUCH ALCATEL OT7047A	TOUCH	ALCATEL	OT7047A	POP C9		 $280 	 $480 
54	DALOT708	DISPLAY ALCATEL OT708	DISPLAY	ALCATEL	OT708	ONE TOUCH MINI		 $100 	 $200 
55	FALOT708	FLEX ALCATEL OT708	FLEX	ALCATEL	OT708	ONE TOUCH MINI		 $80 	 $-   
56	TOUCH02	TOUCH ALCATEL OT708	TOUCH	ALCATEL	OT708	ONE TOUCH MINI		 $70 	 $-   
57	CCALOT708	CENTRO DE CARGA ALCATEL 708a	CENTRO DE CARGA	ALCATEL	OT708A	ONE TOUCH MINI		 $30 	 $-   
58	DALOT710	DISPLAY ALCATEL OT710	DISPLAY	ALCATEL	OT710	OT710		 $120 	 $250 
59	TALOT710	TOUCH ALCATEL OT710	TOUCH	ALCATEL	OT710	OT710		 $100 	 $-   
60	DALOT720	DISPLAY ALCATEL OT720	DISPLAY	ALCATEL	OT720	OT720		 $100 	 $230 
61	TALOT720	TOUCH ALCATEL OT720	TOUCH	ALCATEL	OT720	OT720		 $100 	 $-   
62	DALOT800	DISPLAY ALCATEL OT800	DISPLAY	ALCATEL	OT800	ONR TOUCH TRIBE		 $150 	 $250 
63	BALOT8000	BATERIA ALCATEL OT8000	BATERIA	ALCATEL	OT8000	ONE TOUCH SCRIBE EASY		 $180 	
64	DALOT8000	DISPLAY ALCATEL OT8000	DISPLAY	ALCATEL	OT8000	ONE TOUCH SCRIBE EASY		 $250 	 $480 
65	DALOT802	DISPLAY ALCATEL OT802	DISPLAY	ALCATEL	OT802	WAVE		 $150 	 $300 
66	DALOT803	DISPLAY ALCATEL OT803	DISPLAY	ALCATEL	OT803	OT803		 $150 	 $180 
67	TALOT803	TOUCH ALCATEL OT803	TOUCH	ALCATEL	OT803	OT803		 $130 	 $-   
68	DALOT807	DISPLAY ALCATEL OT807	DISPLAY	ALCATEL	OT807	OT807		 $200 	 $-   
69	TALOT807	TOUCH ALCATEL OT807	TOUCH	ALCATEL	OT807	OT807		 $160 	 $-   
70	DALOT808	DISPLAY ALCATEL OT808	DISPLAY	ALCATEL	OT808	OT808		 $350 	 $-   
71	BALOT880	BATERIA ALCATEL OT880	BATERIA	ALCATEL	OT880	ONE TOUCH XTRA	OT4010	 $75 	 $-   
72	DALOT880	DISPLAY ALCATEL OT880	DISPLAY	ALCATEL	OT880	ONE TOUCH XTRA		 $150 	 $-   
73	FLEX365	FLEX ALCATEL OT880	FLEX	ALCATEL	OT880	ONE TOUCH XTRA		 $100 	 $-   
74	TOUCH61	TOUCH ALCATEL OT880	TOUCH	ALCATEL	OT880	ONE TOUCH XTRA		 $150 	 $-   
75	DALOT890	DISPLAY ALCATEL OT890G	DISPLAY	ALCATEL	OT890G	OT890G		 $180 	 $-   
76	TALOT890	TOUCH ALCATEL OT890G	TOUCH	ALCATEL	OT890G	OT890G		 $120 	 $-   
77	DALOT918	DISPLAY ALCATEL OT918	DISPLAY	ALCATEL	OT918	OT918		 $200 	 $-   
78	TOUCHOT918	TOUCH ALCATEL OT918	TOUCH	ALCATEL	OT918	OT918		 $200 	 $-   
79	DALOT990	DISPLAY ALCATEL OT990a	DISPLAY	ALCATEL	OT990a	OT990A		 $350 	 $-   
80	TOUCHOT990	TOUCH ALCATEL OT990A	TOUCH	ALCATEL	OT990A	OT990A		 $300 	 $-   
81	DALOT991	DISPLAY ALCATEL OT991	DISPLAY	ALCATEL	OT991	OT991		 $350 	 $-   
